Agency Name,Program Name ,Additional Information (optional),agencyCode,ProgramCode,ProgramCodePODFormat
Department of Defense,Command & Control Activities,,7,007-052,007:052
Department of Defense,Information Management Activities,,7,007-053,007:053
Department of Defense,Technology Base,,7,007-054,007:054
Department of Defense,Advanced Development,,7,007-055,007:055
Department of Defense,Undistributed Demonstration / Validation (DemVal) Programs,,7,007-056,007:056
Department of Defense,Undistributed Engineering and Manufacturing Development (EMD) Programs,,7,007-057,007:057
Department of Defense,R&D Support Activities,,7,007-058,007:058
Department of Defense,R&D BOS & Mgmt. HQs,,7,007-059,007:059
Department of Defense,Geophysical Activities,,7,007-060,007:060
Department of Defense,"Geophysical BOS & Mgmt., HQs",,7,007-061,007:061
Department of Defense,Space Launch Support,,7,007-062,007:062
Department of Defense,Nuclear Weapons Support,,7,007-063,007:063
Department of Defense,International Support,,7,007-064,007:064
Department of Defense,Security & Investigative Activities,,7,007-065,007:065
Department of Defense,Supply Operations,,7,007-066,007:066
Department of Defense,Maintenance Operations,,7,007-067,007:067
Department of Defense,Logistics Support to R&D Activities,,7,007-068,007:068
Department of Defense,Logistics Support to Procurement Activities,,7,007-069,007:069
Department of Defense,Logistics Support to MILCON Activities,,7,007-070,007:070
Department of Defense,Logistics BOS & Mgmt. HQs,,7,007-071,007:071
Department of Defense,Other Logistics Support,,7,007-072,007:072
Department of Defense,Personnel Acquisition,,7,007-073,007:073
Department of Defense,Personnel Acquisition Base Operations,,7,007-074,007:074
Department of Defense,Military Personnel Training,,7,007-075,007:075
Department of Defense,Civilian Personnel Training,,7,007-076,007:076
Department of Defense,Flight Training,,7,007-077,007:077
Department of Defense,Intelligence Skill Training,,7,007-078,007:078
Department of Defense,Health Personnel Training,,7,007-079,007:079
Department of Defense,Training BOS & Management. HQs,,7,007-080,007:080
Department of Defense,Hospitals & Other Medical Activities,,7,007-081,007:081
Department of Defense,Medical BOS & Mgmt. HQs,,7,007-082,007:082
Department of Defense,Individuals,,7,007-083,007:083
Department of Defense,Federal Agency Support,,7,007-084,007:084
Department of Defense,Family Housing ,,7,007-085,007:085
Department of Defense,Dependent Education,,7,007-086,007:086
Department of Defense,Other Personnel Support Activities,,7,007-087,007:087
Department of Defense,"Personnel BOS & Mgmt., HQs",,7,007-088,007:088
Department of Defense,Departmental HQ,,7,007-089,007:089
Department of Defense,Departmental Services,,7,007-090,007:090
Department of Defense,"Departmental BOS & Mgmt., HQs",,7,007-091,007:091
Department of Health and Human Services,Foods Program,,9,009-001,009:001
Department of Health and Human Services,Human Drugs,,9,009-002,009:002
Department of Health and Human Services,Biologics,,9,009-003,009:003
Department of Health and Human Services,Animal Drugs and Feeds,,9,009-004,009:004
Department of Health and Human Services,Devices and Radiological Health,,9,009-005,009:005
Department of Health and Human Services,National Center for Toxicological Research,,9,009-006,009:006
Department of Health and Human Services,Center for Tobacco Products,,9,009-007,009:007
Department of Health and Human Services,FDA Headquarters and Program Support,,9,009-008,009:008
Department of Health and Human Services,Indefinite User Fees,,9,009-009,009:009
Department of Health and Human Services,Buildings and Facilities,,9,009-010,009:010
Department of Health and Human Services,Vaccine Injury Compensation,,9,009-011,009:011
Department of Health and Human Services,Health Education Assistance Loans Program,,9,009-012,009:012
Department of Health and Human Services,Primary Health Care,,9,009-013,009:013
Department of Health and Human Services,Health Workforce,,9,009-014,009:014
Department of Health and Human Services,Maternal and Child Health,,9,009-015,009:015
Department of Health and Human Services,Ryan White HIV/AIDS Program,,9,009-016,009:016
Department of Health and Human Services,Health Care Systems,,9,009-017,009:017
Department of Health and Human Services,Rural Health,,9,009-018,009:018
Department of Health and Human Services,Family Planning,,9,009-019,009:019
Department of Health and Human Services,Program Management,,9,009-020,009:020
Department of Health and Human Services,Clinical Services,,9,009-021,009:021
Department of Health and Human Services,Preventive Health,,9,009-022,009:022
Department of Health and Human Services,"Operations, Support, and Other Services",,9,009-023,009:023
Department of Health and Human Services,Indian Health Facilities,,9,009-024,009:024
Department of Health and Human Services,Special Diabetes Program for Indians,,9,009-025,009:025
Department of Health and Human Services,Immunization and Respiratory Diseases,,9,009-026,009:026
Department of Health and Human Services,"HIV/AIDS, Viral Hepatitis, Sexually Transmitted Diseases (STD), and Tuberculosis (TB) Prevention",,9,009-027,009:027
Department of Health and Human Services,Emerging and Zoonotic Infectious Diseases,,9,009-028,009:028
Department of Health and Human Services,Chronic Disease and Prevention and Health Promotion,,9,009-029,009:029
Department of Health and Human Services,"Birth Defects, Developmental Disabilities, Disabilities and Health",,9,009-030,009:030
Department of Health and Human Services,Public Health Scientific Services,,9,009-031,009:031
Department of Health and Human Services,Environmental Health,,9,009-032,009:032
Department of Health and Human Services,Injury Prevention and Control,,9,009-033,009:033
Department of Health and Human Services,National Institute for Occupational Safety and Health,,9,009-034,009:034
Department of Health and Human Services,Energy Employees Occupational Illness Compensation Program,,9,009-035,009:035
Department of Health and Human Services,Global Health,,9,009-036,009:036
Department of Health and Human Services,Public Health Preparedness and Response,,9,009-037,009:037
Department of Health and Human Services,CDC-Wide Activities and Program Support,,9,009-038,009:038
Department of Health and Human Services,Vaccines for Children,,9,009-039,009:039
Department of Health and Human Services,Toxic Substances and Environmental Public Health,,9,009-040,009:040
Department of Health and Human Services,National Library of Medicine,,9,009-041,009:041
Department of Health and Human Services,John E. Fogarty International Center,,9,009-042,009:042
Department of Health and Human Services,Buildings and Facilities at NIH,,9,009-043,009:043
Department of Health and Human Services,Aging Research,,9,009-044,009:044
Department of Health and Human Services,Child Health and Human Development Research,,9,009-045,009:045
Department of Health and Human Services,NIH Program Support and Crosscutting Research Projects,,9,009-046,009:046
Department of Health and Human Services,Cancer Research,,9,009-047,009:047
Department of Health and Human Services,General Medical Sciences Research,,9,009-048,009:048
Department of Health and Human Services,Environmental Health Sciences Research,,9,009-049,009:049
Department of Health and Human Services,"Heart, Lung, and Blood Research",,9,009-050,009:050
Department of Health and Human Services,Dental and Craniofacial Research,,9,009-051,009:051
Department of Health and Human Services,Diabetes and Digestive and Kidney Disease Research,,9,009-052,009:052
Department of Health and Human Services,Allergy and Infectious Diseases Research,,9,009-053,009:053
Department of Health and Human Services,Neurological Disorders and Stroke Research,,9,009-054,009:054
Department of Health and Human Services,Eye Research,,9,009-055,009:055
Department of Health and Human Services,Arthritis and Musculoskeletal and Skin Diseases Research,,9,009-056,009:056
Department of Health and Human Services,Nursing Research,,9,009-057,009:057
Department of Health and Human Services,Deafness and Other Communication Disorders Research,,9,009-058,009:058
Department of Health and Human Services,Human Genome Research,,9,009-059,009:059
Department of Health and Human Services,Mental Health Research,,9,009-060,009:060
Department of Health and Human Services,Drug Abuse Research,,9,009-061,009:061
Department of Health and Human Services,Alcohol Abuse and Alcoholism Research,,9,009-062,009:062
Department of Health and Human Services,AIDS Policy and Budget,,9,009-063,009:063
Department of Health and Human Services,Complementary and Alternative Medicine Research,,9,009-064,009:064
Department of Health and Human Services,Minority Health and Health Disparities Research,,9,009-065,009:065
Department of Health and Human Services,Biomedical Imaging and Bioengineering Research,,9,009-066,009:066
Department of Health and Human Services,Advancing Translational Sciences Research,,9,009-067,009:067
Department of Health and Human Services,Mental Health,,9,009-068,009:068
Department of Health and Human Services,Substance Abuse Prevention,,9,009-069,009:069
Department of Health and Human Services,Substance Abuse Treatment,,9,009-070,009:070
Department of Health and Human Services,Health Surveillance and Program Support,,9,009-071,009:071
Department of Health and Human Services,"Research on Health Costs, Quality and Outcomes",,9,009-072,009:072
Department of Health and Human Services,Medical Expenditure Panel Survey,,9,009-073,009:073
Department of Health and Human Services,AHRQ Program Support,,9,009-074,009:074
Department of Health and Human Services,Children’s Health Insurance Program,,9,009-075,009:075
Department of Health and Human Services,Medicaid,,9,009-076,009:076
Department of Health and Human Services,Health Care Fraud and Abuse Control,,9,009-077,009:077
Department of Health and Human Services,Medicare,,9,009-078,009:078
Department of Health and Human Services,Clinical Laboratory Improvement Amendments,,9,009-079,009:079
Department of Health and Human Services,"Research, Demonstrations and Innovations",,9,009-080,009:080
Department of Health and Human Services,Private Market Insurance,,9,009-081,009:081
Department of Health and Human Services,Health Insurance Marketplaces,,9,009-082,009:082
Department of Health and Human Services,Consumer Operated and Oriented Plan Program,,9,009-083,009:083
Department of Health and Human Services,Payments to States for Child Support Enforcement and Family Support Programs,,9,009-084,009:084
Department of Health and Human Services,Low Income Home Energy Assistance,,9,009-085,009:085
Department of Health and Human Services,Refugee and Entrant Assistance,,9,009-086,009:086
Department of Health and Human Services,Promoting Safe and Stable Families,,9,009-087,009:087
Department of Health and Human Services,State Court Improvement Grants,,9,009-088,009:088
Department of Health and Human Services,Child Care Development Fund,,9,009-089,009:089
Department of Health and Human Services,Social Services Block Grant,,9,009-090,009:090
Department of Health and Human Services,Health Profession Opportunity Grants,,9,009-091,009:091
Department of Health and Human Services,Head Start,,9,009-092,009:092
Department of Health and Human Services,Runaway and Homeless Youth Programs,,9,009-093,009:093
Department of Health and Human Services,Child Abuse and Child Welfare,,9,009-094,009:094
Department of Health and Human Services,Native American Programs,,9,009-095,009:095
Department of Health and Human Services,Social Services Research and Demonstration,,9,009-096,009:096
Department of Health and Human Services,Federal Administration,,9,009-097,009:097
Department of Health and Human Services,Disaster Human Services Case Management,,9,009-098,009:098
Department of Health and Human Services,Community Services Programs,,9,009-099,009:099
Department of Health and Human Services,Family Violence Prevention and Services,,9,009-100,009:100
Department of Health and Human Services,Payments to States for Foster Care and Permanency,,9,009-101,009:101
Department of Health and Human Services,Temporary Assistance to Needy Families,,9,009-102,009:102
Department of Health and Human Services,Children’s Research and Technical Assistance,,9,009-103,009:103
Department of Health and Human Services,Aging Services,,9,009-104,009:104
Department of Health and Human Services,Intellectual and Developmental Disabilities,,9,009-105,009:105
Department of Health and Human Services,Minority HIV/AIDS,,9,009-106,009:106
Department of Health and Human Services,Teen Pregnancy Prevention,,9,009-107,009:107
Department of Health and Human Services,HHS Policy Development and Program Support,,9,009-108,009:108
Department of Health and Human Services,Office of Inspector General,,9,009-109,009:109
Department of Health and Human Services,Health Information Technology and Quality,,9,009-110,009:110
Department of Health and Human Services,Office of Medicare Hearings and Appeals,,9,009-111,009:111
Department of Health and Human Services,All Hazards Preparedness and Response,,9,009-112,009:112
Department of Health and Human Services,Medical Countermeasure Advanced Development,,9,009-113,009:113
Department of Health and Human Services,Retirement Pay and Medical Benefits for Commissioned Officers,,9,009-114,009:114
Department of Health and Human Services,Payment to DoD Medicare-Eligible Retiree Health Care Fund,,9,009-115,009:115
Department of the Interior,Tribal Government,,10,010-001,010:001
Department of the Interior,Contract Support Costs,,10,010-002,010:002
Department of the Interior,Human Services,,10,010-003,010:003
Department of the Interior,Trust ‐ Natural Resources Management,,10,010-004,010:004
Department of the Interior,Trust ‐ Real Estate Services,,10,010-005,010:005
Department of the Interior,Public Safety and Justice,,10,010-006,010:006
Department of the Interior,Community and Economic Development,,10,010-007,010:007
Department of the Interior,Executive Direction and Administrative Services,,10,010-008,010:008
Department of the Interior,Education Construction,,10,010-009,010:009
Department of the Interior,Public Safety & Justice Construction,,10,010-010,010:010
Department of the Interior,Resources Management Construction,,10,010-011,010:011
Department of the Interior,General Administration (Construction),,10,010-012,010:012
Department of the Interior,Construction Management,,10,010-013,010:013
Department of the Interior,Indian Land and Water Claim Settlements & Miscellaneous Payments to Indians,,10,010-014,010:014
Department of the Interior,Indian Guaranteed Loan Program,,10,010-015,010:015
Department of the Interior,Gifts and Donations,,10,010-016,010:016
Department of the Interior,White Earth Settlement Fund,,10,010-017,010:017
Department of the Interior,Miscellaneous Permanent Appropriations,,10,010-018,010:018
Department of the Interior,Operation and Maintenance of Quarters,,10,010-019,010:019
Department of the Interior,Elementary and Secondary Programs,,10,010-020,010:020
Department of the Interior,Post Secondary Programs,,10,010-021,010:021
Department of the Interior,Education Management,,10,010-022,010:022
Department of the Interior,Indian Arts and Crafts Board,,10,010-023,010:023
Department of the Interior,"Land Resources (Management of: Soil, Water & Air; Riparian; Wild Horse & Burro; partial Rangeland)",,10,010-024,010:024
Department of the Interior,Land Resources (Management of Cultural Resources),,10,010-025,010:025
Department of the Interior,Land Resources (Management of Rangeland),,10,010-026,010:026
Department of the Interior,Land Resources (Management of Public Domain Forestry),,10,010-027,010:027
Department of the Interior,Wildlife and Fisheries,,10,010-028,010:028
Department of the Interior,Threatened and Endangered Species,,10,010-029,010:029
Department of the Interior,Recreation Management (Wilderness),,10,010-030,010:030
Department of the Interior,Recreation Management (Recreation),,10,010-031,010:031
Department of the Interior,"Energy and Minerals Management (Oil, Natural Gas and Coal; includes offsetting fees)",,10,010-032,010:032
Department of the Interior,Energy and Minerals Management (Renewable Energy),,10,010-033,010:033
Department of the Interior,Energy and Minerals Management (Other Mineral Resources),,10,010-034,010:034
Department of the Interior,Realty and Ownership Management,,10,010-035,010:035
Department of the Interior,Communication Site Management,,10,010-036,010:036
Department of the Interior,"Resource Protection and Maintenance (Land Use Planning, Abandoned Mine Lands, Hazardous Materials)",,10,010-037,010:037
Department of the Interior,Resource Protection and Maintenance (Law Enforcement),,10,010-038,010:038
Department of the Interior,Transportation and Facilities Mgmt.,,10,010-039,010:039
Department of the Interior,National Landscape Conservation System,,10,010-040,010:040
Department of the Interior,Challenge Cost Share,,10,010-041,010:041
Department of the Interior,Workforce and Organizational Support,,10,010-042,010:042
Department of the Interior,Mining Law Administration,,10,010-043,010:043
Department of the Interior,Land Acquisition,,10,010-044,010:044
Department of the Interior,Land Acquisition (Mandatory),,10,010-045,010:045
Department of the Interior,Oregon & California Grant Lands (Western Oregon: Forest Management; Reforestation & Forest Development; and Other Forest Resources),,10,010-046,010:046
Department of the Interior,Oregon & California Grant Lands (Western Oregon Resource Management Planning),,10,010-047,010:047
Department of the Interior,Oregon & California Grant Lands (Western Oregon transportation and facilities maintenance),,10,010-048,010:048
Department of the Interior,"Range Improvements (Includes Public Lands Improvements, Farm Tenant Act Lands Improvements, and Administrative Expenses)",,10,010-049,010:049
Department of the Interior,Miscellaneous Trust Funds,,10,010-050,010:050
Department of the Interior,Miscellaneous Permanent Payment Accounts,,10,010-051,010:051
Department of the Interior,Permanent Operating Funds,,10,010-052,010:052
Department of the Interior,Helium Fund,,10,010-053,010:053
Department of the Interior,Renewable Energy,,10,010-054,010:054
Department of the Interior,Conventional Energy,,10,010-055,010:055
Department of the Interior,Environmental Assessment,,10,010-056,010:056
Department of the Interior,General Support Services,,10,010-057,010:057
Department of the Interior,Executive Direction,,10,010-058,010:058
Department of the Interior,Water and Energy Management Development ‐ Other,,10,010-059,010:059
Department of the Interior,Water and Energy Management Development ‐ WaterSMART Grants,,10,010-060,010:060
Department of the Interior,Water and Energy Management Development ‐ Cooperative Watershed Management,,10,010-061,010:061
Department of the Interior,Water and Energy Management Development ‐ Basin Studies,,10,010-062,010:062
Department of the Interior,Water and Energy Management Development ‐ Title XVI Projects,,10,010-063,010:063
Department of the Interior,Water and Energy Management Development ‐ Water Conservation Field Services,,10,010-064,010:064
Department of the Interior,Water and Energy Management Development ‐ Rural Water Programs,,10,010-065,010:065
Department of the Interior,Water and Energy Management Development ‐ Indian Water Rights Settlements,,10,010-066,010:066
Department of the Interior,Water and Energy Management Development ‐ San Joaquin River Restoration Program,,10,010-067,010:067
Department of the Interior,Land Management and Development,,10,010-068,010:068
Department of the Interior,Fish and Wildlife Management and Development ‐ Other,,10,010-069,010:069
Department of the Interior,Fish and Wildlife Management and Development ‐ Endangered Species Conservation/Recovery Program,,10,010-070,010:070
Department of the Interior,Facility Operations,,10,010-071,010:071
Department of the Interior,Facility Maintenance and Rehabilitation,,10,010-072,010:072
Department of the Interior,Policy and Administration,,10,010-073,010:073
Department of the Interior,California Bay‐Delta Restoration,,10,010-074,010:074
Department of the Interior,Central Valley Project Restoration Fund,,10,010-075,010:075
Department of the Interior,Lower Colorado River Basin Development Fund,,10,010-076,010:076
Department of the Interior,Upper Colorado River Basin Fund,,10,010-077,010:077
Department of the Interior,"Miscellaneous Permanent Accounts ‐ Operation, Maintenance, and Replacement of Project Works, North Platte Project (included in W&RR in MAX because under $million)",,10,010-078,010:078
Department of the Interior,Miscellaneous Permanent Accounts ‐ Payments to Farmers Irrigation District (included in W&RR in MAX because under $million),,10,010-079,010:079
Department of the Interior,Miscellaneous Permanent Accounts ‐ Klamath Payments to Local Units‐ Klamath Recreation Area (included in W&RR in MAX because under $million),,10,010-080,010:080
